m=,50
n=,50
dx=,504.7113187538087,m
dy=,310.1360176192224,m
k,i,j,center_x_WebMercator,center_y_WebMercator,center_x_WGS84,center_y_WGS84
1942,39,42,-9537042.657035924,4608184.397492036,-85.67271184115222,38.2032941461154
1943,39,43,-9537042.657035924,4607874.261474417,-85.67271184115222,38.20110481554245
1944,39,44,-9537042.657035924,4607564.125456798,-85.67271184115222,38.198915419133684
1945,39,45,-9537042.657035924,4607253.989439178,-85.67271184115222,38.19672595689031
1946,39,46,-9537042.657035924,4606943.85342156,-85.67271184115222,38.194536428813564
1947,39,47,-9537042.657035924,4606633.71740394,-85.67271184115222,38.19234683490464
1948,39,48,-9537042.657035924,4606323.581386321,-85.67271184115222,38.19015717516478
1949,39,49,-9537042.657035924,4606013.445368702,-85.67271184115222,38.18796744959518
1950,39,50,-9537042.657035924,4605703.309351083,-85.67271184115222,38.18577765819707
1951,40,1,-9536537.94571717,4620899.974214424,-85.66817794223518,38.29300000000001
1952,40,2,-9536537.94571717,4620589.838196805,-85.66817794223518,38.290813369738544
1953,40,3,-9536537.94571717,4620279.702179186,-85.66817794223518,38.288626673591715
1954,40,4,-9536537.94571717,4619969.566161566,-85.66817794223518,38.28643991156072
1955,40,5,-9536537.94571717,4619659.430143948,-85.66817794223518,38.28425308364677
1956,40,6,-9536537.94571717,4619349.294126328,-85.66817794223518,38.28206618985104
1957,40,7,-9536537.94571717,4619039.158108709,-85.66817794223518,38.27987923017476
1958,40,8,-9536537.94571717,4618729.02209109,-85.66817794223518,38.2776922046191
1959,40,9,-9536537.94571717,4618418.886073471,-85.66817794223518,38.275505113185304
1960,40,10,-9536537.94571717,4618108.750055851,-85.66817794223518,38.273317955874546
1961,40,11,-9536537.94571717,4617798.614038232,-85.66817794223518,38.27113073268803
1962,40,12,-9536537.94571717,4617488.478020613,-85.66817794223518,38.26894344362697
1963,40,13,-9536537.94571717,4617178.342002993,-85.66817794223518,38.26675608869256
1964,40,14,-9536537.94571717,4616868.205985375,-85.66817794223518,38.26456866788602
1965,40,15,-9536537.94571717,4616558.069967755,-85.66817794223518,38.262381181208525
1966,40,16,-9536537.94571717,4616247.933950136,-85.66817794223518,38.26019362866132
1967,40,17,-9536537.94571717,4615937.797932517,-85.66817794223518,38.258006010245566
1968,40,18,-9536537.94571717,4615627.661914897,-85.66817794223518,38.2558183259625
1969,40,19,-9536537.94571717,4615317.525897278,-85.66817794223518,38.253630575813325
1970,40,20,-9536537.94571717,4615007.389879659,-85.66817794223518,38.25144275979923
1971,40,21,-9536537.94571717,4614697.25386204,-85.66817794223518,38.24925487792145
1972,40,22,-9536537.94571717,4614387.1178444205,-85.66817794223518,38.24706693018117
1973,40,23,-9536537.94571717,4614076.981826802,-85.66817794223518,38.2448789165796
1974,40,24,-9536537.94571717,4613766.845809182,-85.66817794223518,38.24269083711796
1975,40,25,-9536537.94571717,4613456.709791563,-85.66817794223518,38.24050269179746
1976,40,26,-9536537.94571717,4613146.573773944,-85.66817794223518,38.23831448061929
1977,40,27,-9536537.94571717,4612836.437756324,-85.66817794223518,38.23612620358467
1978,40,28,-9536537.94571717,4612526.3017387055,-85.66817794223518,38.233937860694816
1979,40,29,-9536537.94571717,4612216.165721086,-85.66817794223518,38.23174945195093
1980,40,30,-9536537.94571717,4611906.029703467,-85.66817794223518,38.22956097735423
1981,40,31,-9536537.94571717,4611595.8936858475,-85.66817794223518,38.22737243690592
1982,40,32,-9536537.94571717,4611285.757668229,-85.66817794223518,38.22518383060722
1983,40,33,-9536537.94571717,4610975.621650609,-85.66817794223518,38.222995158459334
1984,40,34,-9536537.94571717,4610665.4856329905,-85.66817794223518,38.22080642046348
1985,40,35,-9536537.94571717,4610355.349615371,-85.66817794223518,38.21861761662087
1986,40,36,-9536537.94571717,4610045.213597751,-85.66817794223518,38.21642874693271
1987,40,37,-9536537.94571717,4609735.0775801325,-85.66817794223518,38.21423981140023
1988,40,38,-9536537.94571717,4609424.941562513,-85.66817794223518,38.212050810024635
1989,40,39,-9536537.94571717,4609114.805544894,-85.66817794223518,38.20986174280714
1990,40,40,-9536537.94571717,4608804.669527275,-85.66817794223518,38.207672609748954
1991,40,41,-9536537.94571717,4608494.533509656,-85.66817794223518,38.2054834108513
1992,40,42,-9536537.94571717,4608184.397492036,-85.66817794223518,38.2032941461154
1993,40,43,-9536537.94571717,4607874.261474417,-85.66817794223518,38.20110481554245
1994,40,44,-9536537.94571717,4607564.125456798,-85.66817794223518,38.198915419133684
1995,40,45,-9536537.94571717,4607253.989439178,-85.66817794223518,38.19672595689031
1996,40,46,-9536537.94571717,4606943.85342156,-85.66817794223518,38.194536428813564
1997,40,47,-9536537.94571717,4606633.71740394,-85.66817794223518,38.19234683490464
1998,40,48,-9536537.94571717,4606323.581386321,-85.66817794223518,38.19015717516478
1999,40,49,-9536537.94571717,4606013.445368702,-85.66817794223518,38.18796744959518
2000,40,50,-9536537.94571717,4605703.309351083,-85.66817794223518,38.18577765819707
2001,41,1,-9536033.234398417,4620899.974214424,-85.66364404331813,38.29300000000001
2002,41,2,-9536033.234398417,4620589.838196805,-85.66364404331813,38.290813369738544
2003,41,3,-9536033.234398417,4620279.702179186,-85.66364404331813,38.288626673591715
2004,41,4,-9536033.234398417,4619969.566161566,-85.66364404331813,38.28643991156072
2005,41,5,-9536033.234398417,4619659.430143948,-85.66364404331813,38.28425308364677
2006,41,6,-9536033.234398417,4619349.294126328,-85.66364404331813,38.28206618985104
2007,41,7,-9536033.234398417,4619039.158108709,-85.66364404331813,38.27987923017476
2008,41,8,-9536033.234398417,4618729.02209109,-85.66364404331813,38.2776922046191
2009,41,9,-9536033.234398417,4618418.886073471,-85.66364404331813,38.275505113185304
2010,41,10,-9536033.234398417,4618108.750055851,-85.66364404331813,38.273317955874546
2011,41,11,-9536033.234398417,4617798.614038232,-85.66364404331813,38.27113073268803
2012,41,12,-9536033.234398417,4617488.478020613,-85.66364404331813,38.26894344362697
2013,41,13,-9536033.234398417,4617178.342002993,-85.66364404331813,38.26675608869256
2014,41,14,-9536033.234398417,4616868.205985375,-85.66364404331813,38.26456866788602
2015,41,15,-9536033.234398417,4616558.069967755,-85.66364404331813,38.262381181208525
2016,41,16,-9536033.234398417,4616247.933950136,-85.66364404331813,38.26019362866132
2017,41,17,-9536033.234398417,4615937.797932517,-85.66364404331813,38.258006010245566
2018,41,18,-9536033.234398417,4615627.661914897,-85.66364404331813,38.2558183259625
2019,41,19,-9536033.234398417,4615317.525897278,-85.66364404331813,38.253630575813325
2020,41,20,-9536033.234398417,4615007.389879659,-85.66364404331813,38.25144275979923
2021,41,21,-9536033.234398417,4614697.25386204,-85.66364404331813,38.24925487792145
2022,41,22,-9536033.234398417,4614387.1178444205,-85.66364404331813,38.24706693018117
2023,41,23,-9536033.234398417,4614076.981826802,-85.66364404331813,38.2448789165796
2024,41,24,-9536033.234398417,4613766.845809182,-85.66364404331813,38.24269083711796
2025,41,25,-9536033.234398417,4613456.709791563,-85.66364404331813,38.24050269179746
2026,41,26,-9536033.234398417,4613146.573773944,-85.66364404331813,38.23831448061929
2027,41,27,-9536033.234398417,4612836.437756324,-85.66364404331813,38.23612620358467
2028,41,28,-9536033.234398417,4612526.3017387055,-85.66364404331813,38.233937860694816
2029,41,29,-9536033.234398417,4612216.165721086,-85.66364404331813,38.23174945195093
2030,41,30,-9536033.234398417,4611906.029703467,-85.66364404331813,38.22956097735423
2031,41,31,-9536033.234398417,4611595.8936858475,-85.66364404331813,38.22737243690592
2032,41,32,-9536033.234398417,4611285.757668229,-85.66364404331813,38.22518383060722
2033,41,33,-9536033.234398417,4610975.621650609,-85.66364404331813,38.222995158459334
2034,41,34,-9536033.234398417,4610665.4856329905,-85.66364404331813,38.22080642046348
2035,41,35,-9536033.234398417,4610355.349615371,-85.66364404331813,38.21861761662087
2036,41,36,-9536033.234398417,4610045.213597751,-85.66364404331813,38.21642874693271
2037,41,37,-9536033.234398417,4609735.0775801325,-85.66364404331813,38.21423981140023
2038,41,38,-9536033.234398417,4609424.941562513,-85.66364404331813,38.212050810024635
2039,41,39,-9536033.234398417,4609114.805544894,-85.66364404331813,38.20986174280714
