m=,100
n=,100
dx=,195.48826902559387,m
dy=,120.09052077612164,m
upper left=,"(-85.84612, 38.29354)"
lower right=,"(-85.61988000000001, 38.18446)"
k,i,j,center_x,center_y
346,4,46,-85.83828,38.2444
347,4,47,-85.83828,38.24332
348,4,48,-85.83828,38.24224
349,4,49,-85.83828,38.24116
350,4,50,-85.83828,38.24008
351,4,51,-85.83828,38.239000000000004
352,4,52,-85.83828,38.23792
353,4,53,-85.83828,38.23684
354,4,54,-85.83828,38.23576
355,4,55,-85.83828,38.23468
356,4,56,-85.83828,38.2336
357,4,57,-85.83828,38.23252
358,4,58,-85.83828,38.23144
359,4,59,-85.83828,38.230360000000005
360,4,60,-85.83828,38.22928
361,4,61,-85.83828,38.2282
362,4,62,-85.83828,38.22712
363,4,63,-85.83828,38.22604
364,4,64,-85.83828,38.22496
365,4,65,-85.83828,38.22388
366,4,66,-85.83828,38.2228
367,4,67,-85.83828,38.221720000000005
368,4,68,-85.83828,38.22064
369,4,69,-85.83828,38.21956
370,4,70,-85.83828,38.21848
371,4,71,-85.83828,38.2174
372,4,72,-85.83828,38.21632
373,4,73,-85.83828,38.21524
374,4,74,-85.83828,38.21416
375,4,75,-85.83828,38.213080000000005
376,4,76,-85.83828,38.212
377,4,77,-85.83828,38.21092
378,4,78,-85.83828,38.20984
379,4,79,-85.83828,38.20876
380,4,80,-85.83828,38.20768
381,4,81,-85.83828,38.2066
382,4,82,-85.83828,38.20552
383,4,83,-85.83828,38.204440000000005
384,4,84,-85.83828,38.20336
385,4,85,-85.83828,38.20228
386,4,86,-85.83828,38.2012
387,4,87,-85.83828,38.20012
388,4,88,-85.83828,38.199040000000004
389,4,89,-85.83828,38.19796
390,4,90,-85.83828,38.19688
391,4,91,-85.83828,38.195800000000006
392,4,92,-85.83828,38.194720000000004
393,4,93,-85.83828,38.19364
394,4,94,-85.83828,38.19256
395,4,95,-85.83828,38.19148
396,4,96,-85.83828,38.190400000000004
397,4,97,-85.83828,38.18932
398,4,98,-85.83828,38.18824
399,4,99,-85.83828,38.187160000000006
400,4,100,-85.83828,38.186080000000004
401,5,1,-85.83604,38.293
402,5,2,-85.83604,38.29192
403,5,3,-85.83604,38.29084
404,5,4,-85.83604,38.28976
405,5,5,-85.83604,38.28868
406,5,6,-85.83604,38.2876
407,5,7,-85.83604,38.286519999999996
408,5,8,-85.83604,38.28544
409,5,9,-85.83604,38.28436
410,5,10,-85.83604,38.28328
411,5,11,-85.83604,38.2822
412,5,12,-85.83604,38.28112
413,5,13,-85.83604,38.28004
414,5,14,-85.83604,38.27896
415,5,15,-85.83604,38.277879999999996
416,5,16,-85.83604,38.2768
417,5,17,-85.83604,38.27572
418,5,18,-85.83604,38.27464
419,5,19,-85.83604,38.27356
420,5,20,-85.83604,38.27248
421,5,21,-85.83604,38.2714
422,5,22,-85.83604,38.27032
423,5,23,-85.83604,38.269239999999996
424,5,24,-85.83604,38.26816
425,5,25,-85.83604,38.26708
426,5,26,-85.83604,38.266
427,5,27,-85.83604,38.264920000000004
428,5,28,-85.83604,38.26384
429,5,29,-85.83604,38.26276
430,5,30,-85.83604,38.26168
431,5,31,-85.83604,38.2606
432,5,32,-85.83604,38.25952
433,5,33,-85.83604,38.25844
434,5,34,-85.83604,38.25736
435,5,35,-85.83604,38.256280000000004
436,5,36,-85.83604,38.2552
437,5,37,-85.83604,38.25412
438,5,38,-85.83604,38.25304
439,5,39,-85.83604,38.25196
440,5,40,-85.83604,38.25088
441,5,41,-85.83604,38.2498
442,5,42,-85.83604,38.24872
443,5,43,-85.83604,38.247640000000004
444,5,44,-85.83604,38.24656
445,5,45,-85.83604,38.24548
446,5,46,-85.83604,38.2444
447,5,47,-85.83604,38.24332
448,5,48,-85.83604,38.24224
449,5,49,-85.83604,38.24116
450,5,50,-85.83604,38.24008
451,5,51,-85.83604,38.239000000000004
452,5,52,-85.83604,38.23792
453,5,53,-85.83604,38.23684
454,5,54,-85.83604,38.23576
455,5,55,-85.83604,38.23468
456,5,56,-85.83604,38.2336
457,5,57,-85.83604,38.23252
458,5,58,-85.83604,38.23144
459,5,59,-85.83604,38.230360000000005
460,5,60,-85.83604,38.22928
461,5,61,-85.83604,38.2282
462,5,62,-85.83604,38.22712
463,5,63,-85.83604,38.22604
464,5,64,-85.83604,38.22496
465,5,65,-85.83604,38.22388
466,5,66,-85.83604,38.2228
467,5,67,-85.83604,38.221720000000005
468,5,68,-85.83604,38.22064
469,5,69,-85.83604,38.21956
470,5,70,-85.83604,38.21848
471,5,71,-85.83604,38.2174
472,5,72,-85.83604,38.21632
473,5,73,-85.83604,38.21524
474,5,74,-85.83604,38.21416
475,5,75,-85.83604,38.213080000000005
476,5,76,-85.83604,38.212
477,5,77,-85.83604,38.21092
478,5,78,-85.83604,38.20984
479,5,79,-85.83604,38.20876
480,5,80,-85.83604,38.20768
481,5,81,-85.83604,38.2066
482,5,82,-85.83604,38.20552
483,5,83,-85.83604,38.204440000000005
484,5,84,-85.83604,38.20336
485,5,85,-85.83604,38.20228
486,5,86,-85.83604,38.2012
487,5,87,-85.83604,38.20012
488,5,88,-85.83604,38.199040000000004
489,5,89,-85.83604,38.19796
490,5,90,-85.83604,38.19688
491,5,91,-85.83604,38.195800000000006
492,5,92,-85.83604,38.194720000000004
493,5,93,-85.83604,38.19364
494,5,94,-85.83604,38.19256
495,5,95,-85.83604,38.19148
496,5,96,-85.83604,38.190400000000004
497,5,97,-85.83604,38.18932
498,5,98,-85.83604,38.18824
499,5,99,-85.83604,38.187160000000006
500,5,100,-85.83604,38.186080000000004
501,6,1,-85.8338,38.293
502,6,2,-85.8338,38.29192
503,6,3,-85.8338,38.29084
504,6,4,-85.8338,38.28976
505,6,5,-85.8338,38.28868
506,6,6,-85.8338,38.2876
507,6,7,-85.8338,38.286519999999996
508,6,8,-85.8338,38.28544
509,6,9,-85.8338,38.28436
510,6,10,-85.8338,38.28328
511,6,11,-85.8338,38.2822
512,6,12,-85.8338,38.28112
513,6,13,-85.8338,38.28004
514,6,14,-85.8338,38.27896
515,6,15,-85.8338,38.277879999999996
516,6,16,-85.8338,38.2768
517,6,17,-85.8338,38.27572
518,6,18,-85.8338,38.27464
519,6,19,-85.8338,38.27356
520,6,20,-85.8338,38.27248
521,6,21,-85.8338,38.2714
522,6,22,-85.8338,38.27032
523,6,23,-85.8338,38.269239999999996
524,6,24,-85.8338,38.26816
525,6,25,-85.8338,38.26708
526,6,26,-85.8338,38.266
527,6,27,-85.8338,38.264920000000004
528,6,28,-85.8338,38.26384
529,6,29,-85.8338,38.26276
530,6,30,-85.8338,38.26168
531,6,31,-85.8338,38.2606
532,6,32,-85.8338,38.25952
533,6,33,-85.8338,38.25844
534,6,34,-85.8338,38.25736
535,6,35,-85.8338,38.256280000000004
536,6,36,-85.8338,38.2552
537,6,37,-85.8338,38.25412
538,6,38,-85.8338,38.25304
539,6,39,-85.8338,38.25196
540,6,40,-85.8338,38.25088
541,6,41,-85.8338,38.2498
542,6,42,-85.8338,38.24872
543,6,43,-85.8338,38.247640000000004
544,6,44,-85.8338,38.24656
545,6,45,-85.8338,38.24548
546,6,46,-85.8338,38.2444
547,6,47,-85.8338,38.24332
548,6,48,-85.8338,38.24224
549,6,49,-85.8338,38.24116
550,6,50,-85.8338,38.24008
551,6,51,-85.8338,38.239000000000004
552,6,52,-85.8338,38.23792
553,6,53,-85.8338,38.23684
554,6,54,-85.8338,38.23576
555,6,55,-85.8338,38.23468
556,6,56,-85.8338,38.2336
557,6,57,-85.8338,38.23252
558,6,58,-85.8338,38.23144
559,6,59,-85.8338,38.230360000000005
560,6,60,-85.8338,38.22928
561,6,61,-85.8338,38.2282
562,6,62,-85.8338,38.22712
563,6,63,-85.8338,38.22604
564,6,64,-85.8338,38.22496
565,6,65,-85.8338,38.22388
566,6,66,-85.8338,38.2228
567,6,67,-85.8338,38.221720000000005
568,6,68,-85.8338,38.22064
569,6,69,-85.8338,38.21956
570,6,70,-85.8338,38.21848
571,6,71,-85.8338,38.2174
572,6,72,-85.8338,38.21632
573,6,73,-85.8338,38.21524
574,6,74,-85.8338,38.21416
575,6,75,-85.8338,38.213080000000005
576,6,76,-85.8338,38.212
577,6,77,-85.8338,38.21092
578,6,78,-85.8338,38.20984
579,6,79,-85.8338,38.20876
580,6,80,-85.8338,38.20768
581,6,81,-85.8338,38.2066
582,6,82,-85.8338,38.20552
583,6,83,-85.8338,38.204440000000005
584,6,84,-85.8338,38.20336
585,6,85,-85.8338,38.20228
586,6,86,-85.8338,38.2012
587,6,87,-85.8338,38.20012
588,6,88,-85.8338,38.199040000000004
589,6,89,-85.8338,38.19796
590,6,90,-85.8338,38.19688
591,6,91,-85.8338,38.195800000000006
592,6,92,-85.8338,38.194720000000004
593,6,93,-85.8338,38.19364
594,6,94,-85.8338,38.19256
595,6,95,-85.8338,38.19148
596,6,96,-85.8338,38.190400000000004
597,6,97,-85.8338,38.18932
598,6,98,-85.8338,38.18824
599,6,99,-85.8338,38.187160000000006
600,6,100,-85.8338,38.186080000000004
601,7,1,-85.83156,38.293
602,7,2,-85.83156,38.29192
603,7,3,-85.83156,38.29084
604,7,4,-85.83156,38.28976
605,7,5,-85.83156,38.28868
606,7,6,-85.83156,38.2876
607,7,7,-85.83156,38.286519999999996
608,7,8,-85.83156,38.28544
609,7,9,-85.83156,38.28436
610,7,10,-85.83156,38.28328
611,7,11,-85.83156,38.2822
612,7,12,-85.83156,38.28112
613,7,13,-85.83156,38.28004
614,7,14,-85.83156,38.27896
615,7,15,-85.83156,38.277879999999996
616,7,16,-85.83156,38.2768
617,7,17,-85.83156,38.27572
618,7,18,-85.83156,38.27464
619,7,19,-85.83156,38.27356
620,7,20,-85.83156,38.27248
621,7,21,-85.83156,38.2714
622,7,22,-85.83156,38.27032
623,7,23,-85.83156,38.269239999999996
624,7,24,-85.83156,38.26816
625,7,25,-85.83156,38.26708
626,7,26,-85.83156,38.266
627,7,27,-85.83156,38.264920000000004
628,7,28,-85.83156,38.26384
629,7,29,-85.83156,38.26276
630,7,30,-85.83156,38.26168
631,7,31,-85.83156,38.2606
632,7,32,-85.83156,38.25952
633,7,33,-85.83156,38.25844
634,7,34,-85.83156,38.25736
635,7,35,-85.83156,38.256280000000004
636,7,36,-85.83156,38.2552
637,7,37,-85.83156,38.25412
638,7,38,-85.83156,38.25304
639,7,39,-85.83156,38.25196
640,7,40,-85.83156,38.25088
641,7,41,-85.83156,38.2498
642,7,42,-85.83156,38.24872
643,7,43,-85.83156,38.247640000000004
644,7,44,-85.83156,38.24656
645,7,45,-85.83156,38.24548
646,7,46,-85.83156,38.2444
647,7,47,-85.83156,38.24332
648,7,48,-85.83156,38.24224
649,7,49,-85.83156,38.24116
650,7,50,-85.83156,38.24008
651,7,51,-85.83156,38.239000000000004
652,7,52,-85.83156,38.23792
653,7,53,-85.83156,38.23684
654,7,54,-85.83156,38.23576
655,7,55,-85.83156,38.23468
656,7,56,-85.83156,38.2336
657,7,57,-85.83156,38.23252
658,7,58,-85.83156,38.23144
659,7,59,-85.83156,38.230360000000005
660,7,60,-85.83156,38.22928
661,7,61,-85.83156,38.2282
662,7,62,-85.83156,38.22712
663,7,63,-85.83156,38.22604
664,7,64,-85.83156,38.22496
665,7,65,-85.83156,38.22388
666,7,66,-85.83156,38.2228
667,7,67,-85.83156,38.221720000000005
668,7,68,-85.83156,38.22064
669,7,69,-85.83156,38.21956
670,7,70,-85.83156,38.21848
671,7,71,-85.83156,38.2174
672,7,72,-85.83156,38.21632
673,7,73,-85.83156,38.21524
674,7,74,-85.83156,38.21416
675,7,75,-85.83156,38.213080000000005
676,7,76,-85.83156,38.212
677,7,77,-85.83156,38.21092
678,7,78,-85.83156,38.20984
679,7,79,-85.83156,38.20876
680,7,80,-85.83156,38.20768
681,7,81,-85.83156,38.2066
682,7,82,-85.83156,38.20552
683,7,83,-85.83156,38.204440000000005
684,7,84,-85.83156,38.20336
685,7,85,-85.83156,38.20228
686,7,86,-85.83156,38.2012
687,7,87,-85.83156,38.20012
688,7,88,-85.83156,38.199040000000004
689,7,89,-85.83156,38.19796
690,7,90,-85.83156,38.19688
691,7,91,-85.83156,38.195800000000006
692,7,92,-85.83156,38.194720000000004
693,7,93,-85.83156,38.19364
694,7,94,-85.83156,38.19256
695,7,95,-85.83156,38.19148
696,7,96,-85.83156,38.190400000000004
697,7,97,-85.83156,38.18932
698,7,98,-85.83156,38.18824
699,7,99,-85.83156,38.187160000000006
700,7,100,-85.83156,38.186080000000004
701,8,1,-85.82932,38.293
702,8,2,-85.82932,38.29192
703,8,3,-85.82932,38.29084
704,8,4,-85.82932,38.28976
705,8,5,-85.82932,38.28868
706,8,6,-85.82932,38.2876
707,8,7,-85.82932,38.286519999999996
708,8,8,-85.82932,38.28544
709,8,9,-85.82932,38.28436
710,8,10,-85.82932,38.28328
711,8,11,-85.82932,38.2822
712,8,12,-85.82932,38.28112
713,8,13,-85.82932,38.28004
714,8,14,-85.82932,38.27896
715,8,15,-85.82932,38.277879999999996
716,8,16,-85.82932,38.2768
717,8,17,-85.82932,38.27572
718,8,18,-85.82932,38.27464
719,8,19,-85.82932,38.27356
720,8,20,-85.82932,38.27248
721,8,21,-85.82932,38.2714
722,8,22,-85.82932,38.27032
723,8,23,-85.82932,38.269239999999996
724,8,24,-85.82932,38.26816
725,8,25,-85.82932,38.26708
726,8,26,-85.82932,38.266
727,8,27,-85.82932,38.264920000000004
728,8,28,-85.82932,38.26384
729,8,29,-85.82932,38.26276
730,8,30,-85.82932,38.26168
731,8,31,-85.82932,38.2606
732,8,32,-85.82932,38.25952
733,8,33,-85.82932,38.25844
734,8,34,-85.82932,38.25736
735,8,35,-85.82932,38.256280000000004
736,8,36,-85.82932,38.2552
737,8,37,-85.82932,38.25412
738,8,38,-85.82932,38.25304
739,8,39,-85.82932,38.25196
740,8,40,-85.82932,38.25088
741,8,41,-85.82932,38.2498
742,8,42,-85.82932,38.24872
743,8,43,-85.82932,38.247640000000004
744,8,44,-85.82932,38.24656
745,8,45,-85.82932,38.24548
746,8,46,-85.82932,38.2444
747,8,47,-85.82932,38.24332
748,8,48,-85.82932,38.24224
749,8,49,-85.82932,38.24116
750,8,50,-85.82932,38.24008
751,8,51,-85.82932,38.239000000000004
752,8,52,-85.82932,38.23792
753,8,53,-85.82932,38.23684
754,8,54,-85.82932,38.23576
755,8,55,-85.82932,38.23468
756,8,56,-85.82932,38.2336
757,8,57,-85.82932,38.23252
758,8,58,-85.82932,38.23144
759,8,59,-85.82932,38.230360000000005
760,8,60,-85.82932,38.22928
761,8,61,-85.82932,38.2282
762,8,62,-85.82932,38.22712
763,8,63,-85.82932,38.22604
764,8,64,-85.82932,38.22496
765,8,65,-85.82932,38.22388
766,8,66,-85.82932,38.2228
767,8,67,-85.82932,38.221720000000005
768,8,68,-85.82932,38.22064
769,8,69,-85.82932,38.21956
770,8,70,-85.82932,38.21848
771,8,71,-85.82932,38.2174
772,8,72,-85.82932,38.21632
773,8,73,-85.82932,38.21524
774,8,74,-85.82932,38.21416
775,8,75,-85.82932,38.213080000000005
776,8,76,-85.82932,38.212
777,8,77,-85.82932,38.21092
778,8,78,-85.82932,38.20984
779,8,79,-85.82932,38.20876
780,8,80,-85.82932,38.20768
781,8,81,-85.82932,38.2066
782,8,82,-85.82932,38.20552
783,8,83,-85.82932,38.204440000000005
784,8,84,-85.82932,38.20336
785,8,85,-85.82932,38.20228
786,8,86,-85.82932,38.2012
787,8,87,-85.82932,38.20012
788,8,88,-85.82932,38.199040000000004
789,8,89,-85.82932,38.19796
790,8,90,-85.82932,38.19688
